% Title: Dictionary database. 
% Source: Yelp.com Data. 
% Authors: Manikanta Talanki & Kaushik Sirineni. 

@RELATION dictionary original 
@ATTRIBUTE word String 
@ATTRIBUTE usefulVotesPercent {A,B,C,D,E}
@ATTRIBUTE usefulnessPercent {A,B,C,D,E}

@DATA 
deepfried,D,A
isles,B,D
utilized,D,C
gorgonzola,C,C
anchovy,C,C
facility,B,A
emotions,D,C
hmmmm,B,A
stuffing,C,B
carin,E,A
cried,A,E
occassions,B,D
cargo,D,B
cares,B,B
distract,C,C
cared,C,B
cards,C,A
pacific,C,B
shockingly,C,A
carbs,D,B
cleavage,A,C
neighbors,D,B
carls,C,A
carla,D,C
compensation,C,C
register,C,B
gratitude,A,B
carne,B,A
brighten,D,B
brighter,C,C
cream,C,B
carol,C,A
tanning,B,C
creek,C,B
obliged,C,B
politely,D,B
stroke,A,B
mojitos,C,C
carry,C,B
creep,B,A
gypsy,A,A
carte,D,C
carts,C,A
sparkling,D,B
amenity,A,C
stroll,D,B
fired,C,B
carve,A,A
fires,B,A
strong,C,B
rabbit,C,A
writing,D,B
crema,D,B
creme,C,B
kokomo,B,D
crepe,C,B
picante,D,C
drivethrough,B,D
groupons,B,C
recommended,B,A
cases,D,B
casey,B,A
brightly,D,B
senorita,D,A
first,C,B
fishy,C,B
spirits,C,B
americanized,B,A
conduct,C,A
loungy,C,C
internet,C,A
correction,C,C
lounge,D,C
lips,A,B
internal,D,C
lion,B,A
lint,D,B
live,B,B
lite,C,A
list,C,B
lisa,A,A
chewing,C,B
gyros,C,A
reverse,B,A
grocer,D,C
immediatly,C,C
catch,C,B
cathy,C,A
ambitious,A,B
lowcarb,D,B
cater,C,A
backand,D,A
massive,D,B
stirfried,D,C
themthis,C,C
finals,B,A
relief,C,B
relied,B,D
finale,A,C
advised,B,B
fewer,C,B
digestif,A,C
brittle,A,C
themthey,C,B
advisor,D,B
loaded,C,B
hardwood,A,E
iron,C,A
lakes,C,B
irks,B,D
vegetarians,B,B
autographs,B,C
vacuuming,C,B
operates,A,A
operated,C,B
celebrations,B,A
bicycle,D,B
goodnot,C,A
lalibela,C,B
stuffi,D,B
stuffs,B,C
hungover,C,B
touched,D,B
touches,C,A
snatched,A,C
larger,C,B
prepped,C,B
oldtown,D,C
indifferent,B,A
stuffy,C,C
relive,D,B
popularity,D,B
becketts,D,C
mounds,D,C
relish,D,A
eyebrows,C,A
buttermilk,D,B
unseasoned,C,C
witnessed,D,A
pretty,B,A
lockers,D,A
thumping,A,A
annoying,C,B
never,C,A
contamination,B,C
lands,D,D
appearances,D,A
locking,D,B
owned,C,B
owner,C,B
countries,C,B
itmy,C,A
standby,C,B
itoh,A,C
bandera,C,B
totaled,C,B
itso,D,D
itty,D,A
moreover,C,B
confidently,A,C
lamps,D,B
coworkers,B,B
itwe,C,B
alcohol,C,B
sesame,C,B
awaited,A,C
cleanings,D,B
totally,C,B
pajamas,D,C
grandmother,D,B
standup,D,B
isolated,C,E
featuring,D,B
operator,B,D
newer,B,B
itch,D,C
holiday,C,A
boast,C,B
drunks,D,C
itas,C,A
boats,C,C
housemade,D,B
newly,C,C
board,C,B
backthe,C,B
yikes,D,B
boars,C,B
item,C,B
itll,D,B
cousin,A,B
laredo,C,B
everywhere,C,B
reiterate,C,B
hometown,C,A
teharu,B,A
itim,A,A
itif,D,A
seabass,B,D
itit,C,A
itin,D,E
slack,C,A
isnt,C,B
events,C,B
instincts,C,A
isle,C,A
goodour,D,B
birthday,C,B
lanes,B,B
institution,D,B
slabs,D,C
course,C,B
courts,C,E
disconnected,B,A
evenly,C,B
millionaire,A,A
nectar,C,B
famished,D,C
president,C,C
finely,C,B
rivals,C,B
checkpoint,B,D
garner,C,A
wheels,D,C
dismissive,A,C
defalcos,C,E
discounted,C,B
stucco,D,A
mortified,D,A
inwe,D,C
finest,C,B
volcano,B,A
requirements,D,C
exceedingly,B,B
pasties,B,B
into,D,B
foodthey,B,C
refrigerated,D,C
everyday,B,B
altho,B,A
inns,B,C
adventure,D,B
bridges,D,A
alter,C,A
upstairs,C,B
foodthis,B,D
esplanade,D,A
precious,D,C
bobby,D,B
soooooo,B,A
info,C,B
techniques,B,B
upset,C,B
refrigerator,C,B
represents,C,C
transaction,C,B
speciali,B,B
specials,B,A
indy,C,A
incl,A,E
inch,D,B
traveler,B,A
consisting,D,E
traveled,C,B
obese,D,D
hardest,D,A
goodits,B,C
currys,D,E
carefully,C,B
lactose,C,C
fetch,C,B
recover,C,B
karshs,A,E
bothers,C,B
mochas,B,A
cursed,D,D
goodies,C,B
butterflies,C,B
bocce,D,A
bocca,D,B
socializing,C,A
imho,C,B
upthe,D,B
barbecued,D,B
please,C,B
notoriously,C,C
imax,C,A
wafers,A,A
alway,B,A
gordon,C,A
mousse,D,B
large,C,B
curves,C,C
curved,C,B
ipod,C,A
equate,A,A
renewed,A,C
sipped,A,B
headlight,C,D
placegreat,B,A
renewal,C,D
heavenly,D,B
mintues,B,D
nightmare,C,A
chambord,B,C
ipic,C,A
buckets,D,B
signatures,A,C
buckeye,C,A
fraiche,A,B
universe,A,C
studio,C,B
staircase,D,C
ipad,B,A
headed,D,B
ipas,B,D
laser,C,D
fairytale,E,E
iowa,C,C
obgyn,D,C
waffle,C,A
fever,C,D
poached,D,C
demise,A,C
slurping,C,D
mouths,D,A
payment,B,B
plumber,B,A
auntie,E,D
garlic,C,B
piano,C,A
larry,A,C
ethic,C,C
phoenician,D,C
quality,B,A
gardens,C,B
labor,C,C
advantage,C,B
heaventhe,D,B
mastered,C,C
amazon,B,D
amber,A,A
registers,C,B
allstar,C,D
laced,D,B
confirming,A,B
restaurantthe,C,C
lacks,C,B
amazed,B,A
amazes,B,B
inadequate,B,C
slept,C,B
robust,D,C
growler,B,C
yellowtail,C,C
firecracker,B,A
becoming,C,C
wendys,B,A
madame,D,C
higley,B,E
backing,C,A
freebies,B,A
yield,A,B
records,B,A
chutney,D,B
pointing,D,A
pieces,C,B
condiments,C,B
purchasing,C,A
tuning,C,B
macadamia,C,A
laden,D,C
relate,C,B
horizon,D,A
disgust,D,C
casually,D,C
tataki,D,C
davids,D,A
etcthe,B,B
beating,D,C
lemongrass,C,A
ladys,B,A
knowledge,C,A
hammered,D,B
ballparks,C,C
delivering,C,B
distinguish,C,B
steered,D,A
yorkers,C,D
cycle,C,C
illy,C,A
cyclo,C,A
artichoke,C,B
alexanders,D,A
useless,D,A
spotless,C,A
tactic,A,A
intrusive,B,A
donethe,C,C
mouthwatering,D,B
coulda,B,C
uninterested,B,C
beforehand,C,A
boddingtons,C,A
upper,C,B
scorpions,B,A
incredible,C,B
upped,D,A
incredibly,C,B
couture,D,B
transportation,D,B
wallets,D,C
slips,B,B
enclosed,D,B
slimy,C,B
slime,D,C
correct,C,A
sling,A,C
ikea,D,B
skilled,B,A
beatles,D,A
listened,C,A
skillet,B,B
slide,C,B
slick,D,B
slice,C,B
madcap,B,D
phoned,C,B
phones,C,B
separate,C,B
smitten,D,B
benihana,B,D
specific,C,A
friendliness,C,A
pineapples,D,A
lager,C,B
manufacturers,D,B
aforementioned,A,B
feedback,C,C
hysterical,A,C
germain,D,C
capers,D,B
citizen,D,A
germann,B,D
germany,C,C
exchange,D,B
slash,A,C
iffy,C,B
fuchsia,B,A
skyline,D,C
slave,D,D
higher,B,A
comparable,B,A
letters,D,A
coupon,B,A
abundance,D,B
happiest,D,A
musical,C,A
pointers,D,A
network,C,B
growing,C,B
popsicles,B,C
ricethe,B,B
presidential,A,C
taters,A,D
crispier,C,B
fallen,D,C
tracking,C,A
scottsdales,D,C
highly,B,A
lahna,A,C
beforei,D,A
scottsdalei,C,C
snobbery,A,B
robots,D,A
particular,C,A
diehard,C,B
snobbish,B,A
melrose,D,B
comfort,C,B
banter,D,A
sidewalk,D,A
remarked,A,C
anomaly,C,D
proclaimed,C,C
bandito,D,C
intricate,A,C
slinging,C,D
ihop,B,A
letting,C,B
values,B,B
divorce,D,A
valued,C,B
valuei,A,B
uphill,A,C
resulted,C,C
franchises,B,A
franchised,D,B
bandido,D,B
effectively,C,C
couple,C,B
shoving,D,A
sleek,D,C
sleep,C,B
accepting,B,C
accountant,D,C
educational,D,B
reccommend,B,D
county,C,C
counts,D,B
credits,B,A
goodthe,B,B
clippers,B,B
sideways,D,E
oldtime,D,A
pushing,C,B
losses,C,D
toothe,C,B
tripping,A,C
manmade,B,C
valuable,C,B
amaze,C,A
perched,D,B
slope,D,C
washing,C,B
european,C,B
steady,D,B
guidelines,A,E
happier,C,A
double,C,A
steaks,B,B
especially,B,B
alike,C,B
steamy,D,A
aerobics,C,E
alice,C,A
steals,C,A
anaheim,C,C
alien,D,A
progressed,D,B
salespeople,C,B
gorgeous,C,B
phils,D,E
accidentally,C,C
chimichangas,B,A
republican,A,A
laundry,C,B
ounces,C,C
printer,B,A
printed,D,B
routinely,B,D
regions,D,A
strength,D,C
jalapenos,C,B
cabbage,C,B
visitors,C,A
intoxicated,C,D
frustrated,C,C
slots,C,A
searched,C,A
reasonablethe,C,A
allergies,D,A
continental,B,B
douche,A,B
represent,C,C
topper,D,A
herberger,A,C
topped,D,B
against,D,B
hotthe,B,D
roaming,C,C
unsure,B,A
hottie,E,C
wheres,D,B
loaves,D,A
complimented,D,B
plenty,C,B
irritated,D,A
irritates,D,D
hotter,C,B
leftovers,C,B
coworker,C,B
uncles,A,B
iain,E,C
worrying,C,B
showers,C,A
rellano,B,B
motivation,D,A
againwe,D,A
waitress,B,B
solutions,B,C
seamus,C,B
doubts,C,E
terminals,B,A
introductory,D,D
itour,B,A
valleythe,D,A
zucchini,C,A
interesting,C,B
upwards,D,C
electronic,C,A
showing,C,B
newcomers,C,A
listed,C,B
listen,C,B
cupcake,C,A
ichi,B,D
lotion,C,A
prepaid,B,C
icey,C,A
lentils,D,C
iced,C,B
peperoni,C,E
tonights,A,B
souvenirs,D,E
definitely,B,A
percent,C,A
arnold,D,B
kindness,B,B
starving,C,B
farewell,B,B
itone,C,D
inbetween,C,B
caliber,C,B
cafeteria,C,A
university,C,C
upholstery,D,A
ghost,B,A
continued,D,B
continues,C,C
idea,D,B
idaho,B,A
needs,B,A
treats,D,B
projected,D,C
promising,C,B
memory,D,B
yelper,A,B
yelped,D,C
priorities,C,B
settling,D,C
researching,B,A
situation,C,B
idle,C,B
gorditas,A,C
abandoned,D,B
wasteful,C,B
catches,D,E
happens,D,B
bathroom,C,B
sorority,C,B
jerked,A,A
icky,C,A
icon,A,B
spotted,A,C
refuses,C,A
refused,C,A
projector,B,D
prepare,C,B
emptied,D,C
apiece,C,B
alive,D,C
itnot,B,D
itnow,D,B
object,D,A
bullet,D,B
crunchiness,C,C
deliveries,B,E
therapeutic,C,C
carried,C,A
carries,D,B
carrier,D,B
vacation,B,A
spotthe,D,B
definitley,B,E
errands,C,A
holistic,C,E
bitters,D,B
tacked,D,A
superfriendly,C,B
consignment,C,C
underwhelmed,C,B
seasons,C,B
industry,C,B
capped,D,B
crabcake,A,A
tackle,D,B
attribute,C,A
oasis,C,B
knish,D,C
barlounge,D,C
uttered,A,C
trouble,C,B
negro,B,B
switching,C,A
understanding,C,B
negra,B,B
paragraph,A,B
knife,D,B
kettle,D,B
trinkets,C,C
knick,A,E
pucks,C,A
dreamy,D,C
dreams,D,B
allergens,E,C
dreary,C,B
utterly,D,B
fortune,C,A
astray,D,C
promenade,C,B
noodles,B,B
namely,D,C
itthe,C,B
qualify,C,A
prefer,B,A
photo,D,A
poetry,C,C
dishesi,D,B
visiting,B,A
yellow,C,B
sinking,D,A
relaxing,B,B
stopped,B,A
loathe,D,C
phony,D,B
phone,C,A
definition,C,A
municipal,C,C
accounting,D,B
sealed,D,C
bedroom,C,A
yelled,C,A
chicken,B,A
anytime,C,B
british,C,C
telling,C,B
kickoff,C,E
interiors,C,D
cougar,A,A
happily,C,B
assaulted,B,A
alert,A,B
adjusted,C,B
zuchinni,B,C
functional,C,C
grownup,D,A
nitpicky,D,E
newport,D,C
ignore,D,B
policies,C,A
aztec,C,C
refunds,C,A
latte,C,B
festivals,C,B
loaner,B,D
awesomethe,C,B
deliciousi,B,A
designers,D,C
laugh,D,C
gorilla,D,D
graduate,C,A
obama,B,A
specialties,C,A
robeks,B,A
saucethe,B,B
performance,D,C
delivered,C,A
laura,C,C
function,C,B
robert,A,B
tantalizing,D,D
kimchi,B,C
deliciousthe,B,C
lemons,D,C
lemony,C,B
newbie,D,B
lasts,B,A
stupid,D,A
lassi,C,B
noises,D,B
nobrainer,B,C
glutton,D,A
gobble,C,B
mixologists,C,B
conventional,C,B
centerpiece,C,B
superstar,C,D
later,C,B
indulgence,A,A
knees,D,B
restaurantcom,C,B
dissappointed,B,D
latin,C,A
respectively,D,C
interested,C,B
rivers,A,D
painless,B,B
restuarant,B,A
minnesota,D,B
denied,C,A
tempranillo,A,C
hyde,C,B
guedos,C,E
tablethe,C,C
hype,C,B
marilyn,C,A
lawns,D,D
naming,C,C
romantic,C,B
exposure,C,B
tsoynamis,B,B
puddle,D,C
phase,D,C
diego,B,B
serviceand,D,B
topics,D,A
idiot,D,B
scandinavian,A,A
craziness,B,B
britney,A,A
cosmetic,D,A
conflicted,C,C
wafting,D,C
robbed,C,B
flashback,D,B
stripped,A,A
increasingly,A,E
sturdy,A,C
diets,C,A
fructose,D,A
stripper,A,D
denise,B,A
hefeweizen,B,D
tastey,B,A
borders,C,B
hazard,C,A
tasted,C,A
tastei,D,B
taster,B,A
tastes,B,B
designing,D,A
karaoke,C,B
allwe,D,C
layer,C,B
layed,B,A
sugary,D,B
retired,C,A
newest,D,C
robata,D,C
knack,D,B
truffle,C,B
dotted,A,C
visitthe,D,B
unimpressed,C,A
didnt,C,B
sugars,C,D
whispered,D,A
interactions,D,A
jungle,B,B
bomberos,A,C
probably,C,A
confidence,C,B
didwe,B,A
dottsy,E,B
discriminating,B,C
search,C,A
basement,D,B
seared,C,C
hotpot,D,A
housewares,D,B
reservations,C,B
proposed,C,B
yearold,D,C
consecutive,D,A
proposal,A,C
squished,D,E
dicey,E,A
cinemas,D,A
diced,D,B
dicks,D,A
sugared,C,D
travesty,C,E
served,C,B
alley,D,B
allen,C,A
relleno,B,B
ityou,D,A
killing,D,A
knight,C,E
server,C,B
serves,C,B
suspended,D,C
overboard,B,B
jeremy,B,A
prepping,D,A
allow,C,B
allot,C,A
refilling,C,B
elizabeth,C,B
member,C,B
bitches,E,B
nerve,D,A
evidence,C,A
bitchin,B,C
pointthe,C,D
aloft,B,D
tolerated,C,A
lickin,D,A
aloha,B,A
licked,C,A
hunk,D,A
hung,C,B
hunt,B,B
along,D,B
alone,C,B
slurp,A,B
aloof,C,B
captain,D,A
carrots,C,B
frontier,D,C
chicago,B,A
hula,C,A
hulk,D,D
slush,B,C
hump,D,B
hugs,C,B
tiring,D,B
huge,C,B
anthony,C,B
hubs,B,A
ignite,A,A
junior,C,A
season,C,B
mortadella,A,C
junkie,C,A
introduction,D,B
hoagies,C,D
seated,C,B
seater,C,E
stinkweeds,C,A
exists,D,C
restaurantbar,B,D
mobile,C,A
bargains,C,B
depressing,D,A
depression,A,B
simplicity,C,B
revealing,A,A
ideas,C,B
ideal,C,B
lunchtime,C,B
hush,C,A
hurt,C,B
exited,A,B
trends,B,D
trendy,C,B
nerds,D,B
nerdy,D,C
tastyi,D,D
sweltering,C,B
diana,A,E
diane,C,C
snottsdale,C,C
constructive,A,B
dines,B,A
diner,C,B
dined,C,B
belongs,C,A
weary,C,A
wears,C,C
entire,C,B
halibut,C,B
tolerance,C,B
hookers,A,C
dingy,B,A
construction,C,C
abouti,A,D
barbers,B,D
fumes,A,A
dinky,A,B
although,C,A
dimly,C,C
hasnt,C,B
michigan,C,B
abound,D,B
entice,D,B
showering,C,B
stereo,D,A
couches,C,B
pranksters,C,B
subtract,C,A
giant,C,B
attracted,B,B
leaning,C,B
remind,D,B
rokerij,C,B
restrictions,C,B
remiss,C,C
frothy,D,D
furious,D,A
funky,C,B
wallpaper,A,C
lightweight,D,A
ignored,C,B
chipping,B,D
funny,C,B
ignores,B,D
hajibaba,C,B
frosty,C,A
funds,D,B
barefoot,A,A
fungi,B,A
exhibition,D,B
duration,D,B
figuring,C,B
masterpieces,A,D
treadmills,C,C
authentically,D,B
glaring,D,A
kirkland,C,E
hates,C,A
hater,C,C
hated,C,B
custom,B,A
hatch,B,D
impressedthe,C,B
seasonal,C,B
itunes,C,A
bitter,C,B
bitten,C,A
nosco,D,B
morning,C,B
seasoned,C,A
processes,D,B
processed,C,A
weeknight,C,C
haute,A,E
columbia,A,A
placeits,D,B
reminders,D,A
primary,B,B
african,D,C
noses,A,C
haunt,D,E
wedge,C,B
balsamic,C,B
drench,B,C
trythe,B,C
jury,B,A
just,C,B
july,C,A
shifts,D,D
jump,D,B
smack,D,C
june,C,A
north,C,B
junk,C,A
simpsons,A,A
columbus,B,C
laptops,C,B
noted,C,B
personality,C,B
juke,C,A
doused,C,A
notes,D,B
spraying,B,C
unfinished,D,B
notch,B,A
judy,D,D
postinos,C,A
small,C,B
dennys,B,B
juan,B,A
palette,D,B
wineries,C,C
smash,B,D
smart,D,B
rendered,D,A
weeki,A,A
weeks,C,A
providing,C,B
weeds,B,B
haves,B,D
haven,C,B
blackboard,B,A
michelada,B,D
roommates,D,C
paletas,B,C
comparing,C,B
secondary,B,C
hookahs,D,B
token,C,A
cocktails,C,B
profiles,B,A
education,D,E
hotels,C,B
unpretentious,D,A
comedor,D,E
barbeque,B,B
stunned,D,C
obscure,D,B
barbara,D,D
dissatisfied,B,A
maryvale,D,A
abysmal,C,C
tradiciones,A,E
tissue,C,C
benedict,B,B
cancellation,B,A
quickly,C,B
dennis,B,D
explains,C,A
therebut,D,C
trashed,A,B
sinfully,D,B
rigatoni,B,B
adorned,A,B
struggled,C,B
struggles,D,E
consulted,B,A
detroit,D,C
captive,D,A
hotdog,C,A
rocking,B,B
scarfed,C,B
rotate,C,B
confines,D,C
yankees,B,D
confined,A,A
haircuts,B,A
novel,D,B
addressing,D,E
quicker,D,B
tokyo,B,B
cotton,D,C
application,A,E
outfield,C,A
quickie,D,A
stella,C,B
dijon,A,B
declare,A,C
referring,C,C
hendricks,A,A
varying,D,E
passive,C,A
unparalleled,B,C
gifts,C,B
wholesome,D,B
jumping,D,B
concierge,B,A
schoolers,A,D
tartare,C,C
thereand,C,A
rockies,B,A
passing,C,B
deduction,A,A
passion,D,B
delectable,D,B
pepperoncini,D,C
cherry,C,B
thunder,C,D
homesick,B,A
seemingly,D,B
releases,B,B
woulda,D,A
kinkos,D,C
released,C,D
articles,C,C
giddy,A,A
potentially,D,C
fronts,C,B
booths,D,C
blueberry,C,B
reminding,C,B
kangaroo,C,D
coincidence,A,A
remove,C,C
remote,B,A
stench,A,D
umbrella,D,C
arguably,B,B
dimed,B,D
walmart,C,A
fully,C,B
fulli,A,E
dishthe,D,C
plethora,D,B
repairs,B,D
quiches,C,C
dressy,B,C
destroy,D,B
resting,D,C
flavour,C,B
flavori,B,B
flavors,C,A
rellenos,B,A
himself,D,B
dilly,B,A
pharmacy,B,A
joke,C,B
unwelcome,C,B
john,D,B
jammed,B,A
fudge,C,A
join,D,B
cheesesteak,B,A
salvage,D,C
jolt,D,D
complaints,B,A
business,C,B
dives,C,B
diver,C,C
jobs,C,B
divey,C,A
toiletries,C,C
jobi,D,C
recommendation,B,B
television,C,A
joan,E,E
rockets,C,C
jodi,B,D
measly,D,C
joey,C,C
joes,B,A
remade,B,B
joel,E,C
grandparents,C,A
eliminate,D,C
consulting,C,C
joya,D,B
remain,D,B
joys,D,C
cheeks,C,B
overdressed,C,B
remake,D,C
alarm,C,D
exhibits,C,A
rapport,B,B
jose,D,B
josh,C,B
remark,C,E
jour,D,D
easiest,C,A
indigestion,B,D
sandwhich,B,A
halal,B,E
empanadas,B,B
decently,B,A
deliciousand,B,A
cheezy,C,A
jellyfish,D,B
gnocci,B,D
rejected,D,A
snowbirds,B,A
whatevs,D,D
cheese,C,B
fuego,B,A
cheery,C,A
cheers,C,B
taught,A,C
cheesy,C,A
breweries,B,B
accepts,D,A
album,D,B
efforts,C,A
lobbys,A,E
halls,D,C
brunch,C,B
barbecue,B,B
incense,D,C
melted,C,B
stupidity,D,D
dixie,D,E
friggin,D,A
manners,C,B
arribas,B,B
mickeys,C,E
smile,C,A
flagship,D,B
pissy,A,E
translate,A,A
smirk,A,E
puking,D,B
beyond,C,A
spending,C,B
mercury,A,A
favoritethe,C,A
rejoice,E,B
pitch,C,C
wells,C,B
douchey,C,A
boycott,C,D
douches,A,C
pitas,B,C
welli,C,C
clients,B,A
cotija,D,C
instant,C,B
install,B,D
courtyard,C,B
swearing,B,A
driving,C,B
potstickers,B,D
jerrys,D,A
hands,C,B
handy,C,B
ovens,C,B
wendy,A,B
potbelly,D,C
alteration,B,D
bartender,C,B
international,C,B
accents,D,B
complained,B,B
smith,A,B
coveted,A,C
roasts,D,A
overs,B,A
splits,B,B
hockey,D,C
teaspoon,C,D
tsoynami,C,C
brulee,D,B
nimbus,D,C
smeeks,A,A
hangs,B,C
jersey,C,B
concerning,C,D
wellprepared,B,A
attempting,D,C
knock,C,A
smelly,C,B
smells,B,B
markets,C,B
treasures,C,A
markers,C,E
steven,C,B
cottage,D,A
stevey,E,B
steves,B,A
stevia,A,B
oxygen,A,D
spectacularly,B,B
restless,C,C
peppermint,C,B
remedy,D,C
standoffish,D,B
knots,B,A
relatively,B,B
uneaten,C,B
wandering,D,B
fanciest,B,B
denver,B,C
bashing,A,E
placethe,C,A
dirty,C,B
demolished,B,D
chowder,B,A
shield,B,D
decline,C,B
knows,C,B
known,C,B
knowi,A,B
restaurant,B,B
discs,C,D
jive,D,C
disco,C,A
toddy,D,B
waxing,B,B
cappuccinos,D,B
passage,A,E
mozzerella,B,A
employer,B,D
today,C,B
experience,B,B
employee,C,A
employed,C,A
inlaws,C,A
banchan,D,C
simplistic,A,B
pizza,B,A
tolerable,B,A
happy,B,A
downing,B,A
excursion,D,D
stainless,A,C
fettucine,C,D
fettucini,B,D
recomend,B,A
dishi,D,B
covered,D,B
curiosity,D,B
sangria,B,A
clearance,C,B
paprika,C,C
fondness,D,C
patient,B,A
ditch,C,C
mandatory,D,E
extending,B,A
kiltlifter,C,B
segment,D,A
smear,C,B
recurring,D,C
falafal,B,D
drivein,C,A
jill,B,A
falafel,C,B
kingdom,D,D
dental,B,D
paella,C,A
ditto,C,E
cucina,A,E
drivers,C,B
biancos,A,C
doughy,D,C
around,C,B
jims,D,C
instead,C,B
imagination,C,B
stewed,D,B
jamming,C,B
pepitas,D,B
hardy,D,A
overshadowed,D,B
toast,C,B
weird,C,B
screamed,C,A
saguaro,D,B
thoughtfully,C,E
careless,D,A
rancher,D,C
harry,A,C
harsh,C,B
weigh,C,B
fifteen,D,B
yardhouse,B,C
bingsoo,D,A
guests,C,B
technical,B,B
physician,B,C
imaginative,C,D
smell,C,B
smelt,B,C
regardless,C,B
surviving,A,B
stomachs,D,C
pronounce,C,B
symbol,A,C
assholes,A,B
toothsome,A,B
remembered,C,B
zoos,C,B
advanced,C,C
pinto,C,B
theater,C,B
pints,D,B
sidewalks,C,C
cutesy,D,A
lettuce,C,B
cutest,D,B
averaging,D,E
zone,C,C
smelled,C,A
pinot,D,C
pinos,B,B
ganache,A,B
exhaust,D,A
chewy,C,B
zoes,C,A
kooky,D,B
theatre,C,B
chess,C,A
chest,D,B
stroganoff,B,C
omitted,E,A
bready,B,A
cheat,C,A
cheba,C,B
downgrading,D,E
cheap,B,A
dismissed,C,B
pinch,B,B
whatnot,C,B
undoubtedly,C,A
subscription,B,A
outfits,C,B
breadi,D,A
breads,C,B
jess,B,A
jets,B,D
combination,C,B
losers,D,B
jerk,C,B
pinks,A,B
chefs,C,B
cheep,B,D
cheer,C,A
cheek,D,D
fingers,C,C
cheez,B,D
breaks,C,A
check,C,B
jenn,E,D
towni,D,A
towne,C,D
towns,B,C
tunnel,C,A
portraits,C,A
camarones,C,E
pimms,A,C
relocating,B,A
melting,D,B
molinos,C,A
childhood,D,B
affect,B,B
therapists,B,C
mellow,C,B
adequately,C,A
twilight,D,A
baratin,A,E
habit,C,C
combined,D,B
actions,D,B
combines,C,B
practitioner,B,E
previously,C,B
bangin,D,B
zoyo,B,A
proprietors,D,B
girls,C,B
girly,C,B
toxic,C,C
banged,D,E
adobada,B,A
beautifully,C,B
manufactured,C,C
solidified,D,C
manufacturer,B,A
displays,C,A
herewe,D,C
rosies,C,E
pencil,A,B
enthusiastic,C,B
pills,D,D
pillars,D,E
chowing,D,B
gallaghers,D,B
disbelief,C,D
pilot,C,B
infection,B,D
transformation,D,E
hereso,C,C
everyone,C,B
decisions,D,B
vegetable,C,B
tracked,C,A
chickpea,D,C
cucumbers,C,B
political,D,B
environmental,D,C
towed,B,A
crushing,C,C
attentive,B,A
splash,D,B
taylor,C,C
discussions,A,B
pilaf,B,D
tablei,B,D
attention,C,B
tables,C,B
heremy,D,C
shannon,C,A
swaddee,B,E
nobuo,C,A
piled,D,B
professionally,B,A
radius,C,C
valets,B,C
ungodly,A,B
mikado,B,C
hurting,C,A
hereit,B,B
hereif,C,A
cobblestone,C,A
alaska,B,A
piles,A,A
radish,D,B
tower,C,B
towel,C,B
jeez,D,A
jeff,C,A
jeep,C,C
breath,D,B
breast,C,B
napkin,D,B
capture,C,C
insulation,C,D
contemporary,C,C
mealwe,D,C
therapy,B,B
garage,C,A
unbelievably,C,B
unbelievable,B,B
delicious,B,A
jean,C,B
tours,C,B
noble,C,B
combining,C,C
searing,C,C
partners,D,C
mealmy,C,C
enoughthe,B,A
afternoon,C,B
suicide,C,B
hadnt,D,B
entitled,D,C
squirrel,D,B
fabulousi,C,B
delicioso,B,A
nightlife,D,C
parisian,D,B
naples,D,C
brutal,D,C
hayden,C,B
terriyaki,B,C
litter,C,B
little,C,B
developed,C,A
lovehate,A,B
usually,B,A
sophisticated,C,B
jazz,D,B
unmarked,C,B
label,C,B
fuzzy,C,A
obscene,D,C
java,C,C
needle,D,B
boyfriend,B,A
consumers,A,A
chive,A,B
swarming,B,B
jake,B,D
broader,B,D
comparatively,B,D
chips,C,B
jail,D,B
picking,C,B
meritage,C,D
chimi,B,A
ching,D,C
china,C,B
presented,C,B
chino,D,B
child,C,A
chile,C,B
chill,B,A
chili,C,A
chime,D,C
arrives,D,C
arrived,C,B
teakwoods,B,A
boofay,E,A
valley,C,B
jars,D,B
cheapo,C,D
chief,D,A
jane,C,A
chick,D,B
jams,D,A
address,C,A
therethe,C,C
instore,C,B
smoke,C,A
smothered,C,A
losing,D,B
lloyd,C,B
smoky,D,B
bumper,D,A
desolate,A,A
bumped,D,B
arrival,C,B
smoca,D,B
outwe,D,A
sooooooooo,B,A
outta,A,B
patronage,D,B
constraints,A,E
salesman,B,A
movers,C,D
overwhelmed,C,B
harvest,C,C
unsatisfied,B,A
salesmen,D,E
smore,B,A
trying,C,B
outit,C,C
program,C,A
outer,D,A
rethink,D,B
ranting,D,C
incorporate,C,B
detract,B,B
zuma,B,B
nouveau,C,E
seville,D,C
hardboiled,A,B
farthest,B,C
photos,D,C
meager,D,A
dished,C,A
given,C,B
secured,A,A
dishes,C,B
meatloaf,C,B
zuzu,D,C
gives,C,B
hosted,C,B
checks,C,B
hairy,D,B
hairs,D,A
thereso,C,B
delightful,D,B
napoli,C,A
theremy,D,A
failure,D,B
thereof,D,A
bunches,A,B
piped,D,B
thereif,C,C
thereit,C,C
therein,D,C
affair,D,B
pipes,D,B
piper,B,B
scarves,C,C
evening,C,B
snickers,D,A
servicethe,B,D
diablo,B,A
breeze,C,B
banner,D,B
banned,A,B
breezy,D,E
therewe,D,A
jack,C,A
jade,C,A
sensational,D,A
aromas,A,B
einstein,B,B
needed,C,B
